County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Percent adults fully vaccinated against COVID-19 (as of 6/10/21)
Anderson County Kentucky,KENTUCKY,17.76%,22.56%,11.41%,52.1%
Grant County Kansas,KANSAS,15.14%,20.83%,9.32%,42.4%
Jefferson County Kansas,KANSAS,16.37%,21.84%,10.1%,48.6%
Pratt County Kansas,KANSAS,15.67%,21.22%,9.71%,44.7%
Ellsworth County Kansas,KANSAS,14.7%,19.8%,9.03%,46.4%
Fulton County Kentucky,KENTUCKY,17.92%,22.9%,11.71%,43.2%
Harper County Kansas,KANSAS,15.67%,21.22%,9.71%,45.1%
Trego County Kansas,KANSAS,15.04%,20.37%,9.19%,34.9%
Osborne County Kansas,KANSAS,15.04%,20.37%,9.19%,39.6%
Wilson County Kansas,KANSAS,14.48%,19.76%,8.85%,40.2%
Cloud County Kansas,KANSAS,14.7%,19.8%,9.03%,42.4%
Marshall County Kansas,KANSAS,14.7%,19.8%,9.03%,61%
Graves County Kentucky,KENTUCKY,17.92%,22.9%,11.71%,36.3%
Boyd County Kentucky,KENTUCKY,19.75%,24.92%,13.02%,37.4%
Clark County Kentucky,KENTUCKY,18.74%,23.78%,12.25%,48.1%
Rush County Kansas,KANSAS,15.67%,21.22%,9.71%,45.5%
Wichita County Kansas,KANSAS,15.04%,20.37%,9.19%,48.2%
Crawford County Kansas,KANSAS,16.75%,22.83%,10.35%,39.9%
Daviess County Kentucky,KENTUCKY,17.47%,22.36%,11.4%,47.3%
Kearny County Kansas,KANSAS,15.14%,20.83%,9.32%,48.1%
Fleming County Kentucky,KENTUCKY,21.05%,27.07%,13.91%,42.5%
Republic County Kansas,KANSAS,14.7%,19.8%,9.03%,49.3%
Cumberland County Kentucky,KENTUCKY,20.81%,27.01%,13.71%,36.5%
Bath County Kentucky,KENTUCKY,21.05%,27.07%,13.91%,47.3%
Butler County Kansas,KANSAS,13.94%,18.79%,8.45%,40.6%
Hamilton County Kansas,KANSAS,15.14%,20.83%,9.32%,34.8%
Harvey County Kansas,KANSAS,14.49%,19.09%,8.93%,40.9%
Harrison County Kentucky,KENTUCKY,18.74%,23.78%,12.25%,43.1%
Lane County Kansas,KANSAS,15.04%,20.37%,9.19%,40.4%
Osage County Kansas,KANSAS,14.59%,19.4%,8.92%,43.7%
Douglas County Kansas,KANSAS,13.57%,19.01%,8.25%,52.6%
Hart County Kentucky,KENTUCKY,20.53%,26.37%,13.75%,29.8%
Finney County Kansas,KANSAS,15.14%,20.83%,9.32%,33.4%
Labette County Kansas,KANSAS,16.75%,22.83%,10.35%,41.6%
Morton County Kansas,KANSAS,15.14%,20.83%,9.32%,29.9%
Campbell County Kentucky,KENTUCKY,16.9%,21.27%,11.03%,56.1%
Graham County Kansas,KANSAS,15.04%,20.37%,9.19%,74.6%
Rawlins County Kansas,KANSAS,15.04%,20.37%,9.19%,38.9%
Cowley County Kansas,KANSAS,14.97%,20.36%,9.21%,42.2%
Meade County Kansas,KANSAS,15.14%,20.83%,9.32%,36.3%
Greenup County Kentucky,KENTUCKY,19.75%,24.92%,13.02%,36.4%
Logan County Kansas,KANSAS,15.04%,20.37%,9.19%,45.9%
Smith County Kansas,KANSAS,15.04%,20.37%,9.19%,43.6%
Breckinridge County Kentucky,KENTUCKY,19.51%,25.2%,12.73%,37.5%
Sedgwick County Kansas,KANSAS,15.69%,21.36%,9.56%,42.3%
Rooks County Kansas,KANSAS,15.04%,20.37%,9.19%,43.7%
Clark County Kansas,KANSAS,15.14%,20.83%,9.32%,46.5%
Jewell County Kansas,KANSAS,14.7%,19.8%,9.03%,44%
Woodson County Kansas,KANSAS,14.48%,19.76%,8.85%,37.9%
Ballard County Kentucky,KENTUCKY,17.92%,22.9%,11.71%,28.7%
Grant County Kentucky,KENTUCKY,16.9%,21.27%,11.03%,42.7%
Thomas County Kansas,KANSAS,15.04%,20.37%,9.19%,38.4%
Ottawa County Kansas,KANSAS,14.7%,19.8%,9.03%,37.3%
Bourbon County Kentucky,KENTUCKY,18.74%,23.78%,12.25%,49.4%
Edmonson County Kentucky,KENTUCKY,20.53%,26.37%,13.75%,32.2%
Floyd County Kentucky,KENTUCKY,21.46%,27.78%,14.49%,44.2%
Chase County Kansas,KANSAS,14.48%,19.76%,8.85%,41.1%
Scott County Kansas,KANSAS,15.04%,20.37%,9.19%,41.4%
Haskell County Kansas,KANSAS,15.14%,20.83%,9.32%,35.3%
Breathitt County Kentucky,KENTUCKY,21.81%,28.3%,14.63%,38.8%
Christian County Kentucky,KENTUCKY,20.48%,27.04%,13.64%,27%
Hancock County Kentucky,KENTUCKY,17.47%,22.36%,11.4%,54.2%
Linn County Kansas,KANSAS,15.6%,20.68%,9.63%,31.2%
Norton County Kansas,KANSAS,15.04%,20.37%,9.19%,42.4%
Edwards County Kansas,KANSAS,15.67%,21.22%,9.71%,44.5%
Washington County Kansas,KANSAS,14.7%,19.8%,9.03%,48.1%
Lyon County Kansas,KANSAS,14.48%,19.76%,8.85%,48.5%
Pawnee County Kansas,KANSAS,15.67%,21.22%,9.71%,45.9%
Doniphan County Kansas,KANSAS,16.37%,21.84%,10.1%,36.8%
Crittenden County Kentucky,KENTUCKY,19.72%,25.32%,13.14%,32.1%
Greenwood County Kansas,KANSAS,14.48%,19.76%,8.85%,47.1%
Comanche County Kansas,KANSAS,15.67%,21.22%,9.71%,44.7%
Reno County Kansas,KANSAS,15.42%,20.65%,9.56%,45%
Green County Kentucky,KENTUCKY,20.81%,27.01%,13.71%,35.8%
Kiowa County Kansas,KANSAS,15.67%,21.22%,9.71%,44.1%
Wyandotte County Kansas,KANSAS,16.1%,22.98%,9.89%,42.1%
Stafford County Kansas,KANSAS,15.67%,21.22%,9.71%,41.8%
Barren County Kentucky,KENTUCKY,20.53%,26.37%,13.75%,40.1%
Johnson County Kansas,KANSAS,11.67%,15.22%,7%,62.6%
Gove County Kansas,KANSAS,15.04%,20.37%,9.19%,48.8%
Miami County Kansas,KANSAS,15.6%,20.68%,9.63%,43.6%
Bullitt County Kentucky,KENTUCKY,17.57%,21.88%,11.33%,38.8%
Garrard County Kentucky,KENTUCKY,18.89%,23.92%,12.51%,41.9%
Ford County Kansas,KANSAS,15.14%,20.83%,9.32%,35.9%
Clay County Kansas,KANSAS,14.7%,19.8%,9.03%,50.6%
Riley County Kansas,KANSAS,15.65%,22.56%,9.47%,32.9%
Carlisle County Kentucky,KENTUCKY,17.92%,22.9%,11.71%,32.8%
Morris County Kansas,KANSAS,14.48%,19.76%,8.85%,50.2%
Seward County Kansas,KANSAS,15.14%,20.83%,9.32%,38.9%
Hodgeman County Kansas,KANSAS,15.14%,20.83%,9.32%,43.9%
Hardin County Kentucky,KENTUCKY,19.49%,25.03%,12.74%,50.3%
Greeley County Kansas,KANSAS,15.04%,20.37%,9.19%,51.9%
McPherson County Kansas,KANSAS,15.42%,20.65%,9.56%,49.2%
Elk County Kansas,KANSAS,14.48%,19.76%,8.85%,30.5%
Boone County Kentucky,KENTUCKY,15.42%,19.13%,9.78%,56.7%
Chautauqua County Kansas,KANSAS,14.48%,19.76%,8.85%,38.3%
Clinton County Kentucky,KENTUCKY,20.81%,27.01%,13.71%,31.5%
Franklin County Kentucky,KENTUCKY,17.76%,22.56%,11.41%,66.3%
Saline County Kansas,KANSAS,14.7%,19.8%,9.03%,42.2%
Wallace County Kansas,KANSAS,15.04%,20.37%,9.19%,35.2%
Elliott County Kentucky,KENTUCKY,19.75%,24.92%,13.02%,27.8%
Lincoln County Kansas,KANSAS,14.7%,19.8%,9.03%,42.2%
Dickinson County Kansas,KANSAS,14.7%,19.8%,9.03%,47.6%
Phillips County Kansas,KANSAS,15.04%,20.37%,9.19%,41.5%
Ness County Kansas,KANSAS,15.04%,20.37%,9.19%,44.7%
Sumner County Kansas,KANSAS,15.67%,21.22%,9.71%,37.8%
Bracken County Kentucky,KENTUCKY,21.05%,27.07%,13.91%,42.3%
Casey County Kentucky,KENTUCKY,20.81%,27.01%,13.71%,28.9%
Shawnee County Kansas,KANSAS,15.65%,21.41%,9.6%,53.1%
Adair County Kentucky,KENTUCKY,20.81%,27.01%,13.71%,32%
Franklin County Mississippi,MISSISSIPPI,17.52%,28.1%,12.11%,34.5%
Barton County Missouri,MISSOURI,15.76%,21.8%,9.58%,27%
Newton County Mississippi,MISSISSIPPI,18.14%,29.15%,12.56%,39.1%
Lac qui Parle County Minnesota,MINNESOTA,7.98%,12.33%,4.32%,55.6%
Lauderdale County Mississippi,MISSISSIPPI,18.14%,29.15%,12.56%,37.8%
Smith County Mississippi,MISSISSIPPI,19.16%,30.08%,13.18%,23.8%
Lyon County Minnesota,MINNESOTA,7.98%,12.33%,4.32%,52.3%
Tippah County Mississippi,MISSISSIPPI,19.59%,30.31%,13.57%,30.7%
Meeker County Minnesota,MINNESOTA,8.01%,12.16%,4.33%,45%
Bolivar County Mississippi,MISSISSIPPI,19.13%,31.45%,13.34%,44.6%
Boone County Missouri,MISSOURI,11.73%,17.21%,6.78%,54%
Wabasha County Minnesota,MINNESOTA,7.55%,11.61%,4.04%,66.7%
Logan County Kentucky,KENTUCKY,20.53%,26.37%,13.75%,43.3%
Perry County Kentucky,KENTUCKY,21.81%,28.3%,14.63%,50.9%
Iberville Parish Louisiana,LOUISIANA,18.98%,26.47%,11.74%,40.7%
Spencer County Kentucky,KENTUCKY,17.57%,21.88%,11.33%,21.6%
Caddo Parish Louisiana,LOUISIANA,17.22%,25.09%,10.39%,38%
Martin County Kentucky,KENTUCKY,21.46%,27.78%,14.49%,42.2%
Ouachita Parish Louisiana,LOUISIANA,17.64%,25.36%,10.61%,35.9%
St. Tammany Parish Louisiana,LOUISIANA,15.96%,21.68%,9.52%,46.5%
Concordia Parish Louisiana,LOUISIANA,21.74%,29.79%,13.85%,26%
Waldo County Maine,MAINE,9.48%,12.85%,7.8%,61.7%
Trimble County Kentucky,KENTUCKY,17.03%,20.99%,11.15%,36.9%
West Feliciana Parish Louisiana,LOUISIANA,18.98%,26.47%,11.74%,70.4%
Evangeline Parish Louisiana,LOUISIANA,19.13%,27.43%,11.77%,28.3%
Winn Parish Louisiana,LOUISIANA,21.74%,29.79%,13.85%,35.1%
St. James Parish Louisiana,LOUISIANA,16.68%,23.52%,10.08%,39.4%
Henry County Kentucky,KENTUCKY,17.03%,20.99%,11.15%,49.2%
Avoyelles Parish Louisiana,LOUISIANA,21.74%,29.79%,13.85%,31.4%
Jessamine County Kentucky,KENTUCKY,18.89%,23.92%,12.51%,48.3%
Trigg County Kentucky,KENTUCKY,20.48%,27.04%,13.64%,39.5%
St. John the Baptist Parish Louisiana,LOUISIANA,16.68%,23.52%,10.08%,45.9%
De Soto Parish Louisiana,LOUISIANA,18.74%,27.16%,11.57%,31.5%
Madison Parish Louisiana,LOUISIANA,20.15%,28.62%,12.68%,30.6%
Marshall County Kentucky,KENTUCKY,17.92%,22.9%,11.71%,45.9%
Muhlenberg County Kentucky,KENTUCKY,19.72%,25.32%,13.14%,41.6%
Acadia Parish Louisiana,LOUISIANA,18.68%,25.97%,11.35%,37.8%
Lyon County Kentucky,KENTUCKY,20.48%,27.04%,13.64%,51%
Franklin County Maine,MAINE,10.5%,14.47%,8.63%,55%
Mercer County Kentucky,KENTUCKY,17.76%,22.56%,11.41%,48%
Iberia Parish Louisiana,LOUISIANA,18.98%,27.07%,11.48%,34.7%
Wayne County Kentucky,KENTUCKY,20.59%,26.23%,13.64%,31.2%
Lafayette Parish Louisiana,LOUISIANA,16.43%,23.13%,9.78%,37.9%
Knott County Kentucky,KENTUCKY,21.81%,28.3%,14.63%,39%
Russell County Kentucky,KENTUCKY,20.81%,27.01%,13.71%,40.5%
Lincoln County Maine,MAINE,9.48%,12.85%,7.8%,71.3%
Rapides Parish Louisiana,LOUISIANA,19.51%,27.56%,11.87%,37.2%
Terrebonne Parish Louisiana,LOUISIANA,19.02%,26.21%,11.76%,34.6%
Bossier Parish Louisiana,LOUISIANA,17.48%,25.16%,10.51%,35.8%
Jefferson Davis Parish Louisiana,LOUISIANA,17.83%,25.41%,10.99%,26.6%
Webster Parish Louisiana,LOUISIANA,17.48%,25.16%,10.51%,33.7%
Ohio County Kentucky,KENTUCKY,19.24%,24.29%,12.67%,34.7%
Androscoggin County Maine,MAINE,9.13%,12.58%,7.45%,58.7%
Assumption Parish Louisiana,LOUISIANA,20.43%,27.9%,12.72%,31.5%
Washington Parish Louisiana,LOUISIANA,19.41%,27.37%,12%,31.9%
Orleans Parish Louisiana,LOUISIANA,14.97%,22.14%,8.76%,54.8%
Hickman County Kentucky,KENTUCKY,17.92%,22.9%,11.71%,29.4%
Menifee County Kentucky,KENTUCKY,21.05%,27.07%,13.91%,37.3%
Metcalfe County Kentucky,KENTUCKY,20.53%,26.37%,13.75%,33.5%
Washington County Maine,MAINE,10.1%,14.3%,8.31%,62%
Pendleton County Kentucky,KENTUCKY,16.9%,21.27%,11.03%,39.2%
Washington County Kentucky,KENTUCKY,19.41%,24.47%,12.77%,44.9%
McCracken County Kentucky,KENTUCKY,17.92%,22.9%,11.71%,47.1%
Owsley County Kentucky,KENTUCKY,21.81%,28.3%,14.63%,37.5%
Todd County Kentucky,KENTUCKY,20.48%,27.04%,13.64%,33.2%
St. Landry Parish Louisiana,LOUISIANA,19.13%,27.43%,11.77%,31.9%
Marion County Kentucky,KENTUCKY,19.41%,24.47%,12.77%,45.8%
Allen Parish Louisiana,LOUISIANA,20.04%,27.02%,12.38%,25.9%
Scott County Kentucky,KENTUCKY,18.74%,23.78%,12.25%,55.5%
Piscataquis County Maine,MAINE,10.5%,14.47%,8.63%,53%
Pulaski County Kentucky,KENTUCKY,20.59%,26.23%,13.64%,39.5%
East Baton Rouge Parish Louisiana,LOUISIANA,15.44%,22.48%,9.16%,45.3%
St. Bernard Parish Louisiana,LOUISIANA,18.33%,25.68%,11.01%,37.2%
Cameron Parish Louisiana,LOUISIANA,17.83%,25.41%,10.99%,13.6%
Bienville Parish Louisiana,LOUISIANA,18.74%,27.16%,11.57%,37.5%
Johnson County Kentucky,KENTUCKY,21.46%,27.78%,14.49%,37.1%
Nelson County Kentucky,KENTUCKY,19.41%,24.47%,12.77%,49.2%
Lafourche Parish Louisiana,LOUISIANA,20.43%,27.9%,12.72%,32.7%
Morehouse Parish Louisiana,LOUISIANA,20.15%,28.62%,12.68%,36.2%
Knox County Maine,MAINE,9.48%,12.85%,7.8%,74.1%
Grant Parish Louisiana,LOUISIANA,21.74%,29.79%,13.85%,30.2%
Webster County Kentucky,KENTUCKY,19.24%,24.29%,12.67%,37.2%
Pointe Coupee Parish Louisiana,LOUISIANA,18.98%,26.47%,11.74%,42.5%
West Baton Rouge Parish Louisiana,LOUISIANA,18.98%,26.47%,11.74%,40.1%
Aroostook County Maine,MAINE,10.1%,14.3%,8.31%,58.1%
Hopkins County Kentucky,KENTUCKY,19.72%,25.32%,13.14%,43.5%
Caldwell Parish Louisiana,LOUISIANA,20.15%,28.62%,12.68%,30.2%
Monroe County Kentucky,KENTUCKY,20.53%,26.37%,13.75%,40.6%
Sabine Parish Louisiana,LOUISIANA,18.74%,27.16%,11.57%,28.2%
Tensas Parish Louisiana,LOUISIANA,20.15%,28.62%,12.68%,47.3%
Sagadahoc County Maine,MAINE,8.23%,11.16%,6.76%,69.1%
Powell County Kentucky,KENTUCKY,18.21%,23.74%,11.93%,45.1%
Warren County Kentucky,KENTUCKY,16.94%,22.41%,10.91%,39%
Jefferson Parish Louisiana,LOUISIANA,15.79%,22.26%,9.34%,51.6%
Robertson County Kentucky,KENTUCKY,21.05%,27.07%,13.91%,34.4%
Whitley County Kentucky,KENTUCKY,22.1%,28.64%,14.9%,38.7%
Vernon Parish Louisiana,LOUISIANA,19.51%,27.56%,11.87%,29.8%
Meade County Kentucky,KENTUCKY,19.51%,25.2%,12.73%,34.1%
Larue County Kentucky,KENTUCKY,19.41%,24.47%,12.77%,38.4%
Ascension Parish Louisiana,LOUISIANA,16.69%,23%,10.14%,38.9%
Penobscot County Maine,MAINE,9.64%,13.51%,7.84%,60.3%
Owen County Kentucky,KENTUCKY,16.9%,21.27%,11.03%,32.4%
LaSalle Parish Louisiana,LOUISIANA,21.74%,29.79%,13.85%,27.3%
East Carroll Parish Louisiana,LOUISIANA,20.15%,28.62%,12.68%,35.5%
Natchitoches Parish Louisiana,LOUISIANA,18.74%,27.16%,11.57%,32.3%
Nicholas County Kentucky,KENTUCKY,18.74%,23.78%,12.25%,47.2%
Magoffin County Kentucky,KENTUCKY,21.46%,27.78%,14.49%,39.2%
Shelby County Kentucky,KENTUCKY,17.23%,21.33%,11.22%,42.4%
St. Charles Parish Louisiana,LOUISIANA,16.68%,23.52%,10.08%,45.9%
Kennebec County Maine,MAINE,9.75%,13.32%,8.1%,60.2%
McCreary County Kentucky,KENTUCKY,20.59%,26.23%,13.64%,35.6%
Kenton County Kentucky,KENTUCKY,16.13%,20.25%,10.27%,55%
Beauregard Parish Louisiana,LOUISIANA,20.04%,27.02%,12.38%,24%
St. Martin Parish Louisiana,LOUISIANA,18.98%,27.07%,11.48%,28.9%
Taylor County Kentucky,KENTUCKY,20.81%,27.01%,13.71%,42.1%
Catahoula Parish Louisiana,LOUISIANA,21.74%,29.79%,13.85%,28.5%
Montgomery County Kentucky,KENTUCKY,21.05%,27.07%,13.91%,42.3%
Somerset County Maine,MAINE,10.5%,14.47%,8.63%,51.9%
Mason County Kentucky,KENTUCKY,21.05%,27.07%,13.91%,46.5%
Rockcastle County Kentucky,KENTUCKY,22.1%,27.96%,15.03%,31.7%
Plaquemines Parish Louisiana,LOUISIANA,18.33%,25.68%,11.01%,48%
Jackson County Kentucky,KENTUCKY,22.1%,27.96%,15.03%,27.7%
Vermilion Parish Louisiana,LOUISIANA,18.68%,25.97%,11.35%,27.3%
Cumberland County Maine,MAINE,7.91%,10.73%,6.45%,76.4%
Calcasieu Parish Louisiana,LOUISIANA,18.8%,26.12%,11.6%,32.1%
Jackson Parish Louisiana,LOUISIANA,20.15%,28.62%,12.68%,30.7%
West Carroll Parish Louisiana,LOUISIANA,20.15%,28.62%,12.68%,36%
Pike County Kentucky,KENTUCKY,21.46%,27.78%,14.49%,43.5%
Wolfe County Kentucky,KENTUCKY,21.81%,28.3%,14.63%,44.7%
Union County Kentucky,KENTUCKY,19.24%,24.29%,12.67%,29.7%
Franklin Parish Louisiana,LOUISIANA,20.15%,28.62%,12.68%,30%
Richland Parish Louisiana,LOUISIANA,20.15%,28.62%,12.68%,35.9%
Tangipahoa Parish Louisiana,LOUISIANA,19.41%,27.37%,12%,34.3%
Claiborne Parish Louisiana,LOUISIANA,18.74%,27.16%,11.57%,30.3%
Lincoln Parish Louisiana,LOUISIANA,18.74%,27.16%,11.57%,34.8%
Polk County Missouri,MISSOURI,15.67%,22.04%,9.48%,29.1%
Powder River County Montana,MONTANA,26.39%,31.31%,17.99%,18.8%
Beaverhead County Montana,MONTANA,22.68%,26.94%,15.37%,48.6%
Camden County Missouri,MISSOURI,15.44%,21.85%,9.4%,33.8%
Stoddard County Missouri,MISSOURI,16.75%,24.08%,10.18%,30.3%
Flathead County Montana,MONTANA,24.61%,29.1%,16.69%,35.5%
Cedar County Missouri,MISSOURI,15.76%,21.8%,9.58%,27%
Granite County Montana,MONTANA,22.68%,26.94%,15.37%,32.3%
Clinton County Missouri,MISSOURI,14.41%,20.03%,8.58%,38.1%
Morgan County Missouri,MISSOURI,15.44%,21.85%,9.4%,32.8%
Richland County Montana,MONTANA,26.39%,31.31%,17.99%,32.2%
Lincoln County Missouri,MISSOURI,15.39%,21.12%,9.23%,32.4%
Greene County Missouri,MISSOURI,14.41%,20.41%,8.58%,38.9%
Knox County Missouri,MISSOURI,14.64%,20.59%,8.78%,35.2%
Grundy County Missouri,MISSOURI,14.82%,20.59%,9%,31.6%
Mississippi County Missouri,MISSOURI,16.75%,24.08%,10.18%,36.6%
Dade County Missouri,MISSOURI,15.76%,21.8%,9.58%,35.7%
Daniels County Montana,MONTANA,26.39%,31.31%,17.99%,37.6%
Lewis and Clark County Montana,MONTANA,22.68%,26.94%,15.37%,55.4%
Dunklin County Missouri,MISSOURI,16.75%,24.08%,10.18%,25.5%
Macon County Missouri,MISSOURI,14.64%,20.59%,8.78%,34.5%
Vernon County Missouri,MISSOURI,15.76%,21.8%,9.58%,29.7%
New Madrid County Missouri,MISSOURI,16.75%,24.08%,10.18%,26.5%
St. Clair County Missouri,MISSOURI,15.76%,21.8%,9.58%,26.3%
Holt County Missouri,MISSOURI,14.82%,20.59%,9%,37.2%
Carter County Montana,MONTANA,26.39%,31.31%,17.99%,29.4%
Hill County Montana,MONTANA,26.7%,32.33%,18.24%,51.5%
Alpena County Michigan,MICHIGAN,9.76%,17.17%,6%,50.3%
Barnstable County Massachusetts,MASSACHUSETTS,4.31%,6.12%,3.12%,4.8%
Kent County Maryland,MARYLAND,7.53%,10.7%,3.99%,59.4%
Roscommon County Michigan,MICHIGAN,10.33%,18.08%,6.45%,50.9%
Beltrami County Minnesota,MINNESOTA,8.92%,13.77%,4.76%,54.1%
Koochiching County Minnesota,MINNESOTA,7.96%,12.08%,4.3%,52%
Talbot County Maryland,MARYLAND,7.53%,10.7%,3.99%,66.4%
Itasca County Minnesota,MINNESOTA,8.06%,12.18%,4.38%,51.2%
Essex County Massachusetts,MASSACHUSETTS,4.5%,6.69%,3.3%,64.3%
Wexford County Michigan,MICHIGAN,10.25%,17.74%,6.3%,47%
Grant County Minnesota,MINNESOTA,7.19%,10.93%,3.85%,52.8%
Cass County Minnesota,MINNESOTA,8.06%,12.18%,4.38%,46.7%
Manistee County Michigan,MICHIGAN,8.82%,15.3%,5.37%,54.7%
Chippewa County Minnesota,MINNESOTA,7.98%,12.33%,4.32%,48.1%
Shiawassee County Michigan,MICHIGAN,9.54%,16.51%,5.84%,46.5%
Allegany County Maryland,MARYLAND,9.96%,14.47%,5.38%,46.8%
Iron County Michigan,MICHIGAN,9.5%,16.9%,5.84%,52.8%
Carroll County Maryland,MARYLAND,6.91%,9.51%,3.66%,64.5%
Tuscola County Michigan,MICHIGAN,10.8%,19.03%,6.7%,41.6%
Dukes County Massachusetts,MASSACHUSETTS,4.25%,6.03%,3.1%,3.3%
Huron County Michigan,MICHIGAN,10.8%,19.03%,6.7%,52.3%
Cook County Minnesota,MINNESOTA,7.96%,12.08%,4.3%,74.5%
Middlesex County Massachusetts,MASSACHUSETTS,4.02%,5.88%,2.94%,70.5%
Kittson County Minnesota,MINNESOTA,7.62%,11.79%,4.11%,53.6%
Dorchester County Maryland,MARYLAND,7.53%,10.7%,3.99%,51%
Dodge County Minnesota,MINNESOTA,7.72%,11.99%,4.13%,54.7%
Presque Isle County Michigan,MICHIGAN,9.76%,17.17%,6%,57.5%
Becker County Minnesota,MINNESOTA,8.92%,13.77%,4.76%,51.8%
Kalamazoo County Michigan,MICHIGAN,9.52%,17.11%,5.83%,55.5%
Howard County Maryland,MARYLAND,4.73%,6.81%,2.49%,76.1%
Brown County Minnesota,MINNESOTA,7.98%,12.33%,4.32%,62.5%
Chisago County Minnesota,MINNESOTA,8.88%,13.22%,4.84%,51%
Iosco County Michigan,MICHIGAN,10.33%,18.08%,6.45%,51.2%
Blue Earth County Minnesota,MINNESOTA,7.38%,11.64%,3.89%,53.7%
Anne Arundel County Maryland,MARYLAND,6.74%,9.56%,3.58%,65.4%
Hampshire County Massachusetts,MASSACHUSETTS,4.65%,6.95%,3.39%,55.5%
Nantucket County Massachusetts,MASSACHUSETTS,4.25%,6.03%,3.1%,1.1%
Hennepin County Minnesota,MINNESOTA,6.19%,9.53%,3.3%,65.8%
Queen Anne's County Maryland,MARYLAND,7.53%,10.7%,3.99%,59.5%
Houston County Minnesota,MINNESOTA,7.55%,11.61%,4.04%,41.3%
Van Buren County Michigan,MICHIGAN,9.9%,17.37%,6.08%,50.5%
Ingham County Michigan,MICHIGAN,8.79%,16.48%,5.29%,51.2%
Harford County Maryland,MARYLAND,7.06%,9.96%,3.68%,62%
Fillmore County Minnesota,MINNESOTA,7.55%,11.61%,4.04%,64.9%
Berrien County Michigan,MICHIGAN,9.41%,16.96%,5.78%,50.2%
Luce County Michigan,MICHIGAN,10.87%,19.03%,6.65%,40.5%
St. Joseph County Michigan,MICHIGAN,11.1%,19.31%,6.96%,41.1%
Jackson County Michigan,MICHIGAN,10.67%,18.81%,6.61%,47.6%
Cecil County Maryland,MARYLAND,8.22%,11.79%,4.32%,49.4%
Dakota County Minnesota,MINNESOTA,6.61%,9.93%,3.52%,61.3%
Mason County Michigan,MICHIGAN,10.47%,18.16%,6.44%,57.4%
Kandiyohi County Minnesota,MINNESOTA,8.01%,12.16%,4.33%,47.1%
Ottawa County Michigan,MICHIGAN,8.4%,14.88%,5.14%,53%
Carlton County Minnesota,MINNESOTA,8.06%,12.17%,4.38%,59.1%
Clay County Minnesota,MINNESOTA,7.62%,11.79%,4.11%,33.9%
Baltimore County Maryland,MARYLAND,6.72%,9.88%,3.52%,60.4%
Keweenaw County Michigan,MICHIGAN,9.5%,16.9%,5.84%,52.6%
Norfolk County Massachusetts,MASSACHUSETTS,3.8%,5.52%,2.81%,70.1%
St. Clair County Michigan,MICHIGAN,9.33%,16.29%,5.75%,45.5%
Anoka County Minnesota,MINNESOTA,7.29%,10.97%,3.92%,50.1%
Freeborn County Minnesota,MINNESOTA,7.72%,11.99%,4.13%,53.2%
Benzie County Michigan,MICHIGAN,8.82%,15.3%,5.37%,62.2%
St. Mary's County Maryland,MARYLAND,7.94%,11.23%,4.25%,58.6%
Hubbard County Minnesota,MINNESOTA,8.92%,13.77%,4.76%,43.7%
Missaukee County Michigan,MICHIGAN,10.25%,17.74%,6.3%,46.6%
Branch County Michigan,MICHIGAN,11.1%,19.31%,6.96%,41.4%
Gratiot County Michigan,MICHIGAN,11.02%,19.83%,6.88%,41.4%
Prince George's County Maryland,MARYLAND,6.76%,10.4%,3.53%,56.1%
Big Stone County Minnesota,MINNESOTA,7.19%,10.93%,3.85%,63.7%
Hampden County Massachusetts,MASSACHUSETTS,5.2%,8.11%,3.73%,54.4%
Kanabec County Minnesota,MINNESOTA,8.88%,13.22%,4.84%,37.6%
Garrett County Maryland,MARYLAND,9.96%,14.47%,5.38%,44.7%
Ionia County Michigan,MICHIGAN,11.25%,19.74%,6.99%,43.4%
Faribault County Minnesota,MINNESOTA,7.88%,12.11%,4.28%,51.8%
Antrim County Michigan,MICHIGAN,10.25%,17.74%,6.3%,55.7%
Muskegon County Michigan,MICHIGAN,11.1%,19.54%,6.7%,50.2%
Mackinac County Michigan,MICHIGAN,10.87%,19.03%,6.65%,67.5%
Ontonagon County Michigan,MICHIGAN,9.5%,16.9%,5.84%,62.6%
Berkshire County Massachusetts,MASSACHUSETTS,5%,7.51%,3.59%,46.7%
Sanilac County Michigan,MICHIGAN,10.8%,19.03%,6.7%,40.9%
Crow Wing County Minnesota,MINNESOTA,8.13%,12.37%,4.38%,52.3%
Charles County Maryland,MARYLAND,7%,10.3%,3.69%,54.7%
Isabella County Michigan,MICHIGAN,11.02%,19.83%,6.88%,38.4%
Washtenaw County Michigan,MICHIGAN,7.08%,12.84%,4.32%,61.5%
Isanti County Minnesota,MINNESOTA,8.88%,13.22%,4.84%,35%
Plymouth County Massachusetts,MASSACHUSETTS,4.89%,7.15%,3.61%,60.9%
Goodhue County Minnesota,MINNESOTA,7.93%,12.01%,4.31%,61.1%
Franklin County Massachusetts,MASSACHUSETTS,4.88%,7.55%,3.57%,59.1%
Calhoun County Michigan,MICHIGAN,9.62%,17.11%,5.93%,46%
Somerset County Maryland,MARYLAND,8.61%,12.82%,4.57%,39.8%
Otsego County Michigan,MICHIGAN,9.76%,17.17%,6%,54%
